Thermo Fisher Scientific
XRF Spectra
2.21.0.183,WISpectra Version
20160628_145212,Date_time
5,FileFormat
0x8501,AnalyserID
0x2101,SamplerID
53.04,live
56.62,real
Spectral operations,
error,RunMode
4, 4.00
14, 14.00
7, 7.00
5, 5.00
8, 8.00
7, 7.00
9, 9.00
1, 1.00
7, 7.00
9, 9.00
12, 12.00
7, 7.00
5, 5.00
8, 8.00
7, 7.00
6, 6.00
6, 6.00
4, 4.00
5, 5.00
5, 5.00
8, 8.00
6, 6.00
6, 6.00
4, 4.00
8, 8.00
4, 4.00
3, 3.00
7, 7.00
8, 8.00
8, 8.00
7, 7.00
1, 1.00
3, 3.00
8, 8.00
9, 9.00
3, 3.00
4, 4.00
4, 4.00
5, 5.00
8, 8.00
8, 8.00
8, 8.00
12, 12.00
12, 12.00
11, 11.00
10, 10.00
15, 15.00
6, 6.00
8, 8.00
5, 5.00
7, 7.00
9, 9.00
8, 8.00
5, 5.00
4, 4.00
13, 13.00
7, 7.00
8, 8.00
13, 13.00
7, 7.00
7, 7.00
6, 6.00
9, 9.00
9, 9.00
4, 4.00
10, 10.00
6, 6.00
6, 6.00
4, 4.00
7, 7.00
7, 7.00
6, 6.00
8, 8.00
3, 3.00
5, 5.00
7, 7.00
6, 6.00
5, 5.00
2, 2.00
3, 3.00
7, 7.00
8, 8.00
7, 7.00
7, 7.00
7, 7.00
5, 5.00
7, 7.00
4, 4.00
11, 11.00
10, 10.00
8, 8.00
6, 6.00
10, 10.00
8, 8.00
11, 11.00
12, 12.00
7, 7.00
12, 12.00
12, 12.00
13, 13.00
12, 12.00
10, 10.00
13, 13.00
22, 22.00
21, 21.00
36, 36.00
46, 46.00
42, 42.00
50, 50.00
49, 49.00
64, 64.00
66, 66.00
85, 85.00
90, 90.00
82, 82.00
71, 71.00
63, 63.00
55, 55.00
38, 38.00
35, 35.00
28, 28.00
28, 28.00
22, 22.00
14, 14.00
14, 14.00
15, 15.00
14, 14.00
11, 11.00
7, 7.00
10, 10.00
15, 15.00
16, 16.00
8, 8.00
6, 6.00
11, 11.00
6, 6.00
8, 8.00
15, 15.00
6, 6.00
10, 10.00
7, 7.00
10, 10.00
6, 6.00
6, 6.00
8, 8.00
12, 12.00
8, 8.00
8, 8.00
12, 12.00
10, 10.00
11, 11.00
10, 10.00
14, 14.00
18, 18.00
19, 19.00
15, 15.00
21, 21.00
28, 28.00
21, 21.00
31, 31.00
35, 35.00
43, 43.00
56, 56.00
63, 63.00
81, 81.00
74, 74.00
93, 93.00
75, 75.00
78, 78.00
88, 88.00
56, 56.00
53, 53.00
53, 53.00
46, 46.00
35, 35.00
21, 21.00
16, 16.00
25, 25.00
11, 11.00
10, 10.00
14, 14.00
20, 20.00
9, 9.00
19, 19.00
13, 13.00
12, 12.00
8, 8.00
11, 11.00
8, 8.00
9, 9.00
18, 18.00
15, 15.00
13, 13.00
16, 16.00
21, 21.00
24, 24.00
16, 16.00
26, 26.00
32, 32.00
31, 31.00
39, 39.00
29, 29.00
52, 52.00
50, 50.00
30, 30.00
31, 31.00
37, 37.00
35, 35.00
35, 35.00
40, 40.00
39, 39.00
27, 27.00
35, 35.00
34, 34.00
42, 42.00
42, 42.00
52, 52.00
49, 49.00
67, 67.00
83, 83.00
107, 107.00
136, 136.00
197, 197.00
349, 349.00
501, 501.00
893, 893.00
1374, 1374.00
2039, 2039.00
3011, 3011.00
4212, 4212.00
5829, 5829.00
7667, 7667.00
9602, 9602.00
11378, 11378.00
13324, 13324.00
14726, 14726.00
15746, 15746.00
15982, 15982.00
15472, 15472.00
14722, 14722.00
12710, 12710.00
11022, 11022.00
9386, 9386.00
7204, 7204.00
5465, 5465.00
3987, 3987.00
2804, 2804.00
1880, 1880.00
1166, 1166.00
702, 702.00
454, 454.00
268, 268.00
179, 179.00
101, 101.00
83, 83.00
58, 58.00
39, 39.00
32, 32.00
44, 44.00
43, 43.00
50, 50.00
41, 41.00
53, 53.00
43, 43.00
50, 50.00
51, 51.00
67, 67.00
82, 82.00
90, 90.00
103, 103.00
138, 138.00
210, 210.00
311, 311.00
400, 400.00
523, 523.00
698, 698.00
886, 886.00
1245, 1245.00
1532, 1532.00
1882, 1882.00
2152, 2152.00
2350, 2350.00
2629, 2629.00
2745, 2745.00
2718, 2718.00
2578, 2578.00
2329, 2329.00
2075, 2075.00
1750, 1750.00
1527, 1527.00
1196, 1196.00
876, 876.00
633, 633.00
466, 466.00
286, 286.00
204, 204.00
